Date,TLT,IEF,SHY,HYG,LQD,JNK,GLD,SLV,USO,UNG,UUP,FXE,FXB,FXY,EEM,EWJ,FXI,EWZ,VNQ,XLF,XLK,XLE,XLV,XLU,DBA,COPX
2020-02-04,119.83992767333984,97.52099609375,73.82923889160156,63.040855407714844,104.52984619140625,75.90765380859375,146.42999267578125,16.450000762939453,83.5199966430664,58.599998474121094,22.802566528320312,99.4892578125,115.26004028320312,86.7300033569336,38.248207092285156,51.734230041503906,35.94370651245117,29.535568237304688,75.07347869873047,27.091535568237305,47.011871337890625,20.40669822692871,92.00782775878906,28.19949722290039,13.810148239135742,15.995315551757812
2020-02-05,118.52946472167969,97.0986328125,73.77701568603516,63.299713134765625,104.46568298339844,76.20631408691406,146.61000061035156,16.459999084472656,85.5999984741211,58.52000045776367,22.888778686523438,99.108642578125,114.91332244873047,86.4800033569336,38.46710968017578,52.19840621948242,36.065818786621094,29.71388816833496,75.12081909179688,27.634075164794922,47.286956787109375,21.173919677734375,93.77931213378906,28.314741134643555,13.81897258758545,16.275625228881836
2020-02-06,119.06365203857422,97.16759490966797,73.79441833496094,63.350074768066406,104.4175796508789,76.23410034179688,147.39999389648438,16.6299991607666,85.91999816894531,58.2400016784668,22.931884765625,98.90884399414062,114.30208587646484,86.33000183105469,38.50214767456055,52.59252166748047,36.310035705566406,29.17231559753418,75.37312316894531,27.598501205444336,47.71857833862305,20.958017349243164,93.86066436767578,28.322978973388672,13.916041374206543,16.188030242919922
2020-02-07,120.5493392944336,97.63306427001953,73.83792114257812,63.25657653808594,104.8185806274414,76.12299346923828,147.7899932861328,16.540000915527344,84.63999938964844,57.79999923706055,22.98360824584961,98.6233901977539,113.93717193603516,86.5199966430664,37.967994689941406,52.084556579589844,35.98731231689453,28.650556564331055,75.35736083984375,27.500667572021484,47.282222747802734,20.811513900756836,93.12854766845703,28.2324161529541,13.977811813354492,15.609883308410645
2020-02-10,120.88321685791016,97.82270812988281,73.87271881103516,63.34286117553711,105.06721496582031,76.23410034179688,148.1699981689453,16.610000610351562,83.36000061035156,55.36000061035156,23.01809310913086,98.30941009521484,114.2017593383789,86.52999877929688,38.178157806396484,52.02324676513672,36.1966438293457,28.39297866821289,76.20105743408203,27.58070945739746,47.92251968383789,20.707416534423828,93.62565612792969,28.339439392089844,13.960163116455078,15.644923210144043
2020-02-11,120.27389526367188,97.58999633789062,73.83792114257812,63.38602828979492,104.91480255126953,76.26187133789062,147.66000366210938,16.479999542236328,84.0,56.119998931884766,22.992229461669922,98.38552856445312,114.60314178466797,86.5,38.67726516723633,52.2859992980957,36.894412994384766,29.00060272216797,76.77665710449219,27.678550720214844,47.761253356933594,20.938737869262695,94.1860122680664,28.442346572875977,13.960163116455078,15.977798461914062
2020-02-12,119.66462707519531,97.34001159667969,73.8031005859375,63.55141067504883,104.86669921875,76.4771957397461,147.5399932861328,16.329999923706055,86.4800033569336,57.68000030517578,23.052576065063477,97.98591613769531,114.62139892578125,86.2699966430664,39.202659606933594,52.032005310058594,37.39156723022461,29.1326904296875,77.23400115966797,27.696332931518555,48.27824401855469,21.220190048217773,94.30351257324219,28.46293067932129,13.968986511230469,16.555938720703125
2020-02-13,120.1236801147461,97.42618560791016,73.82057189941406,63.572967529296875,104.79454040527344,76.4771957397461,148.3800048828125,16.459999084472656,86.72000122070312,57.279998779296875,23.078439712524414,97.681396484375,115.38773345947266,86.5,38.68603515625,51.57658386230469,36.90313720703125,28.842082977294922,77.69923400878906,27.68743896484375,48.15017318725586,21.154640197753906,93.86066436767578,28.779869079589844,14.039582252502441,16.32818603515625
2020-02-14,120.64949798583984,97.66757202148438,73.85533142089844,63.56576156616211,105.05119323730469,76.51195526123047,149.0,16.559999465942383,87.5999984741211,57.36000061035156,23.0698184967041,97.63382720947266,115.44245147705078,86.48999786376953,38.70354461669922,51.19122314453125,36.868247985839844,28.967573165893555,78.50347900390625,27.723024368286133,48.35887145996094,21.042842864990234,93.9329605102539,28.973325729370117,14.066054344177246,16.28438949584961
2020-02-18,121.47579193115234,97.82270812988281,73.88142395019531,63.43632125854492,105.25169372558594,76.3660659790039,150.91000366210938,17.010000228881836,87.5999984741211,60.400001525878906,23.156028747558594,97.25325012207031,114.95894622802734,86.41999816894531,38.449607849121094,50.42927169799805,36.78974533081055,28.610923767089844,78.41676330566406,27.482873916625977,48.17863845825195,20.869348526000977,93.59852600097656,29.216167449951172,14.171947479248047,16.030353546142578
