,finbert_sentiment,finbert_uncertainty,finbert_neg_ratio,finbert_pos_ratio,finbert_sentiment_5d,finbert_uncertainty_5d,finbert_sentiment_22d,finbert_uncertainty_22d,finbert_sentiment_mom5d,finbert_sentiment_std22d
2008-01-02,-0.0023733049165457487,0.5479502081871033,0.2,0.2,-0.0023733049165457487,0.5479502081871033,-0.0023733049165457487,0.5479502081871033,0.0,0.0
2008-01-03,-0.10042283684015274,0.6653171181678772,0.2,0.1,-0.051398070878349245,0.6066336631774902,-0.051398070878349245,0.6066336631774902,0.0,0.0
2008-01-04,-0.026821071282029152,0.6607760190963745,0.2,0.1,-0.04320573767957588,0.6246811151504517,-0.04320573767957588,0.6246811151504517,0.0,0.0
2008-01-07,-0.01037187036126852,0.8538801074028015,0.0,0.0,-0.03499727084999904,0.6819808632135391,-0.03499727084999904,0.6819808632135391,0.0,0.0
2008-01-08,-0.2504737079143524,0.4424380362033844,0.5,0.1,-0.07809255826286972,0.6340722978115082,-0.07809255826286972,0.6340722978115082,0.0,0.10387752929643075
2008-01-09,0.038013774901628494,0.6682757139205933,0.1,0.1,-0.07001514229923486,0.6581373989582062,-0.058741502735453345,0.6397728671630224,0.04038707981817424,0.10430346578295265
2008-01-10,-0.2562832534313202,0.6450784802436829,0.3,0.0,-0.10118722561746836,0.6540896713733673,-0.08696175283486289,0.640530811888831,-0.15586041659116745,0.12099871247934368
2008-01-11,0.038038961589336395,0.7095870971679688,0.1,0.2,-0.08821521904319525,0.6638518869876862,-0.07133666353183798,0.6491628475487232,0.06486003287136555,0.12042553230149772
2008-01-14,-0.035087112337350845,0.7647541761398315,0.1,0.0,-0.09315826743841171,0.6460267007350922,-0.06730893562133941,0.6620063285032908,-0.024715241976082325,0.1132939696339826
2008-01-15,0.19757553935050964,0.715650737285614,0.0,0.2,-0.0035484179854393004,0.700669240951538,-0.04082048812415451,0.6673707693815232,0.44804924726486206,0.1357414188064969
2008-01-16,-0.0017114311922341585,0.5925472974777222,0.1,0.2,-0.01149345920421183,0.6855235576629639,-0.03726511931216175,0.6605686355720867,-0.03972520609386265,0.12931437129307363
2008-01-17,0.10547789186239243,0.7382469773292542,0.0,0.1,0.06085876985453069,0.7041572570800781,-0.0253698683809489,0.6670418307185173,0.3617611452937126,0.12999988445163038
2008-01-18,0.02325001358985901,0.5457031726837158,0.2,0.2,0.05790098025463521,0.6713804721832275,-0.021629877460117523,0.6577080877927634,-0.014788947999477386,0.12519375801050756
2008-01-22,-0.07194161415100098,0.6970678567886353,0.2,0.1,0.05053007989190519,0.6578432083129883,-0.02522357293803777,0.660519499863897,-0.03685450181365013,0.12103152492246447
2008-01-23,-0.13074862957000732,0.5545880794525146,0.3,0.1,-0.015134753892198205,0.6256306767463684,-0.03225857671350241,0.6534574051698049,-0.32832416892051697,0.11976923010854522
2008-01-24,-0.21936488151550293,0.6930837631225586,0.2,0.0,-0.058665443956851956,0.6457379698753357,-0.04395272076362744,0.655934052541852,-0.21765345032326877,0.12480546995136847
2008-01-25,-0.11346618831157684,0.5333483815193176,0.3,0.2,-0.10245425999164581,0.6047582507133484,-0.04804174826644799,0.648723130716997,-0.21894408017396927,0.12201279636698176
2008-01-28,-0.03080753982067108,0.6608700752258301,0.2,0.1,-0.11326577067375183,0.6277916312217713,-0.04708429224168261,0.6493979609674878,-0.05405755341053009,0.11843947984983548
2008-01-29,-0.02761119045317173,0.8306358456611633,0.1,0.0,-0.10439968593418598,0.6545052289962768,-0.046059392147550456,0.658936797003997,0.044330423697829247,0.11518914886445167
2008-01-30,0.06990531831979752,0.8109645843505859,0.0,0.1,-0.06426889635622501,0.7057805299758911,-0.04026115662418306,0.6665381863713264,0.20065394788980484,0.11507643767701116
2008-01-31,-0.11694502830505371,0.7559581995010376,0.2,0.0,-0.04378492571413517,0.7183554172515869,-0.043912769561367374,0.670796282234646,0.10241985321044922,0.11340404314182422
2008-02-01,0.002383679151535034,0.6085906624794006,0.2,0.1,-0.020614952221512793,0.7334038734436035,-0.04180838552896272,0.6679687540639531,0.11584986746311188,0.11111030033993731
2008-02-04,-0.018090825527906418,0.8029178380966187,0.1,0.0,-0.018071609362959862,0.7618134260177613,-0.04252281828402457,0.6795581917871129,0.012716714292764664,0.11089498327615556
2008-02-05,-0.016853000968694687,0.7276414632797241,0.1,0.0,-0.015919971466064452,0.7412145495414734,-0.03872418938077648,0.682391116564924,0.010758189484477043,0.11024663264707836
2008-02-06,-0.2027541697025299,0.5959002375602722,0.3,0.1,-0.07045186907052994,0.6982016801834107,-0.046721148399890146,0.6794422174041922,-0.2726594880223274,0.11559328137011547
2008-02-07,-0.12118019163608551,0.7083624601364136,0.2,0.0,-0.0712989017367363,0.6886825323104858,-0.05175789027601819,0.6728277788920836,-0.004235163331031799,0.11634568910708595
2008-02-08,-0.12816177308559418,0.5019564628601074,0.3,0.2,-0.09740799218416214,0.6673556923866272,-0.046198256874711,0.6755331619219347,-0.1305454522371292,0.10909416519256412
2008-02-11,-0.06873836368322372,0.790224552154541,0.0,0.0,-0.1075374998152256,0.6648170351982117,-0.0510506268103861,0.6810762909325686,-0.050647538155317307,0.10753308764581955
2008-02-12,-0.144024059176445,0.5731226801872253,0.2,0.1,-0.13297171145677567,0.6339132785797119,-0.045947936162437225,0.6778055727481842,-0.12717105820775032,0.09970945120867583
2008-02-13,-0.12572059035301208,0.5582305788993835,0.2,0.1,-0.1175649955868721,0.6263793468475342,-0.0533915521598167,0.670925731008703,0.07703357934951782,0.09925253553415239
2008-02-14,0.010811957530677319,0.8261845707893372,0.0,0.0,-0.09116656575351953,0.6499437689781189,-0.05130523080217906,0.6737180216745897,0.13199214916676283,0.10013411481339926
2008-02-15,-0.1806836873292923,0.6414014101028442,0.3,0.0,-0.10167094860225916,0.6778327584266662,-0.06849883201489733,0.670343052257191,-0.05252191424369812,0.08697486470559908
2008-02-19,0.1860351264476776,0.5769978761672974,0.1,0.3,-0.05071625057607889,0.6351874232292175,-0.05996489757671952,0.6696362603794445,0.25477349013090134,0.10178921525569881
2008-02-20,-0.2230568379163742,0.4745641350746155,0.4,0.1,-0.06652280632406474,0.6154757142066956,-0.07489829438484528,0.6576506766405973,-0.0790327787399292,0.10045218150019564
2008-02-21,-0.09716647863388062,0.7486501932144165,0.2,0.0,-0.06081198398023844,0.6535596370697021,-0.08037177130410617,0.6668755412101746,0.02855411171913147,0.09810275004923587
2008-02-22,-0.13478480279445648,0.5439202189445496,0.3,0.1,-0.0899313360452652,0.5971067667007446,-0.0832282798788087,0.6599142849445343,-0.1455967603251338,0.09875832436301545
2008-02-25,-0.0574498176574707,0.83766108751297,0.1,0.0,-0.06528456211090088,0.6363587021827698,-0.07989651570096612,0.6727812398563732,0.1232338696718216,0.0983142363315847
2008-02-26,-0.07350326329469681,0.7783107757568359,0.1,0.0,-0.11719224005937576,0.6766212821006775,-0.07326644214547494,0.676655194976113,-0.2595383897423744,0.09324873182601016
