,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,recon_error,vae_anomaly,latent_velocity,latent_acceleration,crisis_distance
2008-04-03,-0.06120409,0.34101403,-0.26250365,-0.22405866,-0.019312076,0.6670764,-1.6540853,-0.40448305,0.6989411,0.7696573,0.04465266,-0.13390738,1.2285583
2008-04-04,-0.053810135,0.34122753,-0.2695501,-0.19099277,-0.018982612,0.6261279,-1.5950606,-0.40175176,0.7060235,0.7753724,0.07978712,0.03513446,1.1529826
2008-04-07,-0.044792816,0.33948672,-0.27094164,-0.1950216,-0.01919794,0.6131563,-1.5855258,-0.39761698,0.7177436,0.78750986,0.019463504,-0.06032362,1.1395732
2008-04-08,-0.012953386,0.3302946,-0.26400372,-0.22777918,-0.039706796,0.57801825,-1.499682,-0.41678298,0.7327445,0.8018156,0.107755415,0.08829191,1.070842
2008-04-09,0.0073162764,0.32766414,-0.26174796,-0.25377896,-0.036957346,0.57244074,-1.5075285,-0.4368403,0.7386681,0.809422,0.04001736,-0.067738056,1.0881594
2008-04-10,0.016436622,0.32556438,-0.25742054,-0.25234804,-0.05152198,0.558697,-1.4774132,-0.4409016,0.75163853,0.8226694,0.037852515,-0.0021648444,1.0613331
2008-04-11,0.03690262,0.30938673,-0.31846967,-0.27365205,-0.027671926,0.5683589,-1.5341785,-0.47659105,0.7555553,0.8283374,0.100098185,0.06224567,1.1078475
2008-04-14,0.0276597,0.28526226,-0.3509675,-0.23175505,-0.055426687,0.6233555,-1.5447034,-0.45156905,0.73922867,0.81180567,0.0895026,-0.010595582,1.1075826
2008-04-15,0.02578251,0.28719145,-0.36428607,-0.19483587,-0.048842512,0.61315477,-1.503204,-0.4525026,0.73414856,0.80539525,0.05846479,-0.031037811,1.0568717
2008-04-16,0.036401615,0.3037532,-0.3593464,-0.18443432,-0.018743895,0.54430807,-1.4236995,-0.49486548,0.7533912,0.82306755,0.11950322,0.06103843,0.9788552
2008-04-17,0.04003553,0.30640334,-0.33443713,-0.16965249,-0.041729093,0.48318514,-1.3468217,-0.4572608,0.77273375,0.8402688,0.11156992,-0.007933304,0.8868193
2008-04-18,0.0583715,0.30227828,-0.37855622,-0.13926694,-0.012649819,0.4443082,-1.2984623,-0.49132705,0.7534479,0.8197508,0.09528464,-0.016285278,0.828193
2008-04-21,0.060793027,0.2844409,-0.42351887,-0.09114739,-0.02779971,0.43953177,-1.2492751,-0.45588493,0.7400314,0.80445075,0.092676975,-0.002607666,0.7493452
2008-04-22,0.068109795,0.26561227,-0.48947436,-0.04004766,-0.009181052,0.4395317,-1.2212274,-0.46149576,0.7088379,0.7720888,0.09238057,-0.00029640645,0.7055875
2008-04-23,0.07886721,0.26027745,-0.5062687,0.003960684,-0.013705939,0.39328355,-1.1127604,-0.45115003,0.6566703,0.71757066,0.12804084,0.035660267,0.5889889
2008-04-24,0.09820919,0.26092845,-0.5294708,0.03327295,0.0034394562,0.34554595,-1.0471035,-0.4714452,0.6556618,0.7155065,0.0952242,-0.032816634,0.53018063
2008-04-25,0.104779735,0.25257343,-0.5573939,0.06202045,3.642589e-05,0.31400418,-0.9556809,-0.47257638,0.6397508,0.69789565,0.10528502,0.010060817,0.4520414
2008-04-28,0.10100837,0.23863363,-0.60309654,0.09759286,-0.0068945736,0.29379627,-0.8779251,-0.44656032,0.58866775,0.64491695,0.103642985,-0.0016420335,0.37523615
2008-04-29,0.104966894,0.21757613,-0.65080494,0.13440779,-0.003731057,0.28559908,-0.84292036,-0.44248796,0.5441986,0.5996589,0.073550224,-0.03009276,0.3578449
2008-04-30,0.11562334,0.21004717,-0.6629996,0.14590897,-0.0027339756,0.29456422,-0.87200767,-0.45724314,0.4711982,0.52758956,0.0399548,-0.033595424,0.39236125
2008-05-01,0.116673514,0.20948574,-0.6810867,0.20381267,0.018258795,0.25195158,-0.7716177,-0.47315007,0.42240304,0.47734514,0.12755042,0.08759563,0.36831558
2008-05-02,0.115839764,0.21229002,-0.68953776,0.2185378,0.0057237297,0.17746681,-0.66215366,-0.4295767,0.39707422,0.44981396,0.14100687,0.013456449,0.3122323
2008-05-05,0.11409451,0.18960412,-0.74758834,0.2500948,0.0067107156,0.15615734,-0.6177271,-0.40028512,0.38589668,0.43750936,0.09038912,-0.050617754,0.33233622
2008-05-06,0.1122881,0.18382865,-0.7583067,0.30262974,0.019109309,0.11707535,-0.5558751,-0.39600503,0.3787132,0.4295637,0.091850616,0.0014614984,0.378498
2008-05-07,0.12416805,0.14070801,-0.8156206,0.3330949,0.034276396,0.12512842,-0.6065832,-0.4104764,0.3800082,0.43173933,0.09638025,0.0045296326,0.43086964
2008-05-08,0.11659382,0.1347206,-0.8281179,0.35083607,-0.0066333413,0.13882962,-0.5548324,-0.3832401,0.3757043,0.42669594,0.07645546,-0.01992479,0.435287
2008-05-09,0.11253272,0.12152083,-0.8624,0.37950474,-0.006693214,0.13351458,-0.5134412,-0.36235744,0.37100166,0.4214079,0.066071555,-0.010383904,0.4763437
2008-05-12,0.09756236,0.13248265,-0.82305366,0.4082015,0.012311019,0.07865401,-0.43245286,-0.3429205,0.37744305,0.42651585,0.11412125,0.048049696,0.5014344
2008-05-13,0.095922455,0.14997865,-0.8336527,0.3902017,0.00018201768,0.01811037,-0.36177343,-0.30318078,0.33208615,0.37985376,0.10551116,-0.008610092,0.5329687
2008-05-14,0.08561842,0.15310596,-0.8407276,0.40163496,0.0036551207,-0.017093861,-0.30643243,-0.28603107,0.32831213,0.3753581,0.070034765,-0.035476394,0.5806505
2008-05-15,0.06913759,0.15058315,-0.8502473,0.43336505,0.023831517,-0.066448994,-0.22893031,-0.27064282,0.33620587,0.38232136,0.102282934,0.03224817,0.6645886
2008-05-16,0.06446858,0.15130281,-0.9126765,0.43773255,0.008618869,-0.14983809,-0.14091046,-0.22364134,0.33684137,0.3819994,0.14519158,0.042908646,0.77735156
2008-05-19,0.058662698,0.13544047,-0.9671213,0.46788236,0.0075530857,-0.18633531,-0.10730372,-0.2047745,0.33377048,0.37894905,0.08352917,-0.061662413,0.8514564
2008-05-20,0.058325604,0.09625366,-1.0277293,0.50770164,0.008124739,-0.18300067,-0.10302742,-0.19314404,0.33156884,0.37712762,0.08342434,-0.00010482967,0.90271723
2008-05-21,0.07489656,0.0462168,-1.0547278,0.57179976,0.024352878,-0.18507116,-0.13711387,-0.20654997,0.33722624,0.38388246,0.096046954,0.012622617,0.9367554
2008-05-22,0.064408764,0.054923385,-1.0973021,0.5684055,-0.026115999,-0.16776606,-0.047895193,-0.1721894,0.33645883,0.38253033,0.118309274,0.02226232,0.9984512
2008-05-23,0.081238076,0.00453189,-1.1508467,0.63722265,-0.013617516,-0.16555572,-0.05390124,-0.16740257,0.32843778,0.3756214,0.10317674,-0.0151325315,1.0656046
2008-05-27,0.08629827,-0.010923862,-1.1859746,0.68203354,-0.045224585,-0.12664804,-0.015596405,-0.15547788,0.32442266,0.37211072,0.08734267,-0.01583407,1.1207322
2008-05-28,0.08643223,-0.007547319,-1.1998411,0.71080923,-0.060962874,-0.1438877,0.07179944,-0.13169381,0.31931376,0.36687374,0.098895684,0.011553012,1.1995717
2008-05-29,0.081772014,0.0076755434,-1.1878123,0.724223,-0.05456864,-0.18632647,0.15406267,-0.11712542,0.29456446,0.34179404,0.09695096,-0.0019447207,1.261574
2008-05-30,0.06677686,0.022392109,-1.2157391,0.7153859,-0.0692905,-0.22249784,0.231648,-0.07766512,0.28518674,0.33179256,0.10198593,0.0050349683,1.3323255
2008-06-02,0.08917005,-0.021358445,-1.2397532,0.75547206,-0.053959467,-0.21368825,0.15329029,-0.09573345,0.27832246,0.32627457,0.10666859,0.00468266,1.3163744
2008-06-03,0.10148008,-0.035197586,-1.2479873,0.77913237,-0.075792104,-0.17315257,0.13272092,-0.11116089,0.2754456,0.32412902,0.06125013,-0.04541846,1.3110057
2008-06-04,0.108211175,-0.04136993,-1.2670777,0.7832371,-0.09794651,-0.15359661,0.14533177,-0.10683274,0.27636373,0.32527107,0.03893222,-0.022317912,1.328115
