,vol_forecast_22d,vol_forecast_5d,vol_forecast_adaptive,har_rv_forecast,actual_rv_22d,actual_rv_5d,spike_label,vix_level,implied_vol,rv_1d,rv_5d,rv_22d,ci_lower_conformal,ci_upper_conformal,ci_lower_quantile,ci_upper_quantile,ci_width_conformal,ci_width_quantile,shock_score,effective_horizon,regime,regime_code,vol_spread,vol_spread_pct,spike_probability,direction,position_size,strategy,recommended_dte,strike_delta,conviction,pnl
2020-01-02,0.11523497750389183,0.07747206281583537,0.11523497750389183,0.10720771716792069,0.1234491348720169,0.0835286333575869,0,12.470000267028809,0.12470000267028808,0.1324552325654111,0.0834133330235469,0.080857391665098,0.09547195839712877,0.1349979966106549,0.07445044,0.1344011,0.03952603821352613,0.059950657,0.0,22.0,calm,1,-0.009465025166396246,-7.590236538664848,0.34363653381547943,0,0.07894012851747288,flat,30,0.16,0.15788025703494576,0.0
2020-01-03,0.11586544280141903,0.07603994448276433,0.11586544280141903,0.10734658903182592,0.1268796332550604,0.06970793663732236,0,14.020000457763672,0.1402000045776367,0.1124694494466138,0.0903825249677235,0.0790706332002132,0.09610242369465596,0.1356284619081821,0.075096324,0.14194651,0.03952603821352613,0.066850185,0.0,22.0,calm,1,-0.024334561776217678,-17.35703351046772,0.3486094325017012,-1,0.18200818466464017,iron_condor,30,0.16,0.36401636932928033,0.0024244166034810438
2020-01-06,0.12827400759239282,0.09634060978267192,0.12827400759239282,0.10547927172247856,0.126815639954706,0.08165797950654172,0,13.850000381469728,0.1385000038146973,0.0559916941323708,0.0937867611864683,0.0767239245760941,0.10851098848562976,0.1480370266991559,0.075626016,0.15649131,0.03952603821352613,0.080865294,0.0,22.0,calm,1,-0.010225996222304468,-7.383390570866763,0.4464840273270717,-1,0.0632285851519211,iron_condor,30,0.16,0.1264571703038422,0.0007387857952674897
2020-01-07,0.11020675013284943,0.10009090877913648,0.11020675013284943,0.10300103359159704,0.1277805765165783,0.07991648929887027,0,13.789999961853027,0.13789999961853028,0.0445625229627279,0.086597167397808,0.0743079142652797,0.09044373102608638,0.12996976923961248,0.07130618,0.14334062,0.0395260382135261,0.07203444,0.0,22.0,calm,1,-0.027693249485680846,-20.082124410651247,0.30397556375803964,-1,0.19222228371843134,iron_condor,30,0.16,0.38444456743686267,0.0019451786185702641
2020-01-08,0.10728548372139762,0.0940332782839413,0.10728548372139762,0.10538375309276019,0.1290902062853626,0.0731928533532143,0,13.449999809265137,0.13449999809265137,0.0776338598181698,0.0909303801242083,0.0759597174152439,0.08752246461463456,0.1270485028281607,0.07599282,0.123807356,0.03952603821352613,0.047814533,0.0,22.0,calm,1,-0.027214514371253745,-20.233839968166258,0.28093359466538587,-1,0.2845841274463765,iron_condor,30,0.16,0.569168254892753,0.0015395408811438283
2020-01-09,0.10911286712714316,0.07616429061622304,0.10911286712714316,0.10392814679371923,0.1272512786215623,0.08147567401118663,0,12.539999961853027,0.12539999961853027,0.1052990096782649,0.0835286333575874,0.0729830222591345,0.0893498480203801,0.12887588623390622,0.06984015,0.13137402,0.03952603821352613,0.06153387,0.0,22.0,calm,1,-0.016287132491387107,-12.988143972035843,0.2953473817101255,-1,0.13234282955025667,iron_condor,30,0.16,0.26468565910051334,-0.00024500350154823706
2020-01-10,0.1155127696518253,0.09287712946456494,0.1155127696518253,0.09935903046665945,0.1287422902512732,0.08351726962985871,0,12.5600004196167,0.125600004196167,0.0453893848499633,0.0697079366373227,0.0728369309395158,0.09574975054506224,0.13527578875858837,0.06911788,0.13674301,0.03952603821352613,0.06762513,0.0,22.0,calm,1,-0.010087234544341683,-8.031237426224164,0.3458276650528676,-1,0.07458199993503305,iron_condor,30,0.16,0.1491639998700661,-0.0002343579783577873
2020-01-13,0.11159389463103139,0.08629346174492455,0.11159389463103139,0.10480866819740417,0.1266944218735986,0.06996210374720474,0,12.31999969482422,0.1231999969482422,0.1103594841692468,0.0816579795065421,0.0764527386260749,0.09183087552426833,0.13135691373779446,0.06697441,0.14268944,0.03952603821352613,0.07571503,0.0,22.0,calm,1,-0.011606102317210806,-9.420537828492535,0.3149168940416644,-1,0.07664332076588032,iron_condor,30,0.16,0.15328664153176064,-0.0002678243304463789
2020-01-14,0.11685394611931957,0.07489805868864488,0.11685394611931957,0.10160413523439298,0.1267439153717402,0.06916012639499021,0,12.390000343322754,0.12390000343322755,0.0240606873682339,0.0799164892988706,0.0759917175606785,0.0970909270125565,0.13661696522608263,0.067987315,0.15420042,0.03952603821352613,0.086213104,0.0,22.0,calm,1,-0.007046057313907977,-5.686890329833811,0.3564064149370451,0,0.040864189735132,flat,30,0.16,0.081728379470264,0.0
2020-01-15,0.12092089171433415,0.0765978428222738,0.12092089171433415,0.09881986562490354,0.1269723559687936,0.06835721361848171,0,12.420000076293944,0.12420000076293944,0.0296607280913782,0.0731928533532146,0.0705662280814981,0.10115787260757109,0.1406839108210972,0.068346314,0.15781832,0.03952603821352613,0.089472,0.0,22.0,calm,1,-0.0032791090486052887,-2.6401844029486963,0.38848511694603377,0,0.01832477718366546,flat,30,0.16,0.03664955436733092,0.0
2020-01-16,0.11987396244526806,0.07879472456160924,0.11987396244526806,0.10532386317256101,0.1248170386177621,0.07302294496229408,0,12.31999969482422,0.1231999969482422,0.1322623899949763,0.0814756740111867,0.0759913417145652,0.10011094333850501,0.1396369815520311,0.0694911,0.1382659,0.0395260382135261,0.06877479,0.0,22.0,calm,1,-0.00332603450297414,-2.6997033972098614,0.38022729021532264,0,0.02418062289746184,flat,30,0.16,0.04836124579492368,0.0
2020-01-17,0.12252076936163034,0.07723954306409256,0.12252076936163034,0.10260962189560222,0.1248057981191716,0.13135550411727737,0,12.100000381469728,0.12100000381469728,0.0611918345149498,0.0835172696298588,0.0732381006637394,0.10275775025486727,0.1422837884683934,0.06786098,0.16243814,0.03952603821352613,0.094577156,0.0,22.0,calm,1,0.0015207655469330617,1.256830990899805,0.4011044149178013,0,0.008039814322688256,flat,30,0.16,0.01607962864537651,0.0
2020-01-21,0.13694794382331654,0.07957539522770544,0.13694794382331654,0.09959714795741391,0.1295237196178847,0.1481292503988116,0,12.850000381469728,0.12850000381469728,0.0421547615061782,0.0699621037472048,0.0737787632375158,0.11718492471655348,0.1567109629300796,0.07334343,0.16743118,0.03952603821352613,0.09408774,0.0,22.0,calm,1,0.008447940008619259,6.574272185082239,0.5149011253914915,0,0.04489394582592279,flat,30,0.16,0.08978789165184559,0.0
2020-01-22,0.14065335718982433,0.08866444975982384,0.14065335718982433,0.09825359874940628,0.1734519711401999,0.14824294706950836,0,12.90999984741211,0.1290999984741211,0.0045882772163195,0.0691601263949902,0.073770734281367,0.12089033808306127,0.1604163762965874,0.07660042,0.173012,0.03952603821352613,0.096411586,0.0,22.0,calm,1,0.011553358715703232,8.949154804226566,0.5441281825102383,1,0.059916858637380145,long_call_spread,30,0.16,0.11983371727476029,0.0026574308765223912
