,gat_0,gat_1,gat_2,gat_3,gat_4,gat_5,gat_6,gat_7,mean_abs_corr
2022-06-17,-0.005402297,-0.014568386,-0.019244827,-0.011918299,-0.045775488,0.4141847,-0.39693174,0.15253225,0.39698991883427237
2022-06-21,-0.004247129,-0.013150897,-0.017018223,-0.010220613,-0.040845204,0.38278908,-0.36699674,0.13774309,0.39698991883427237
2022-06-22,-0.0036866234,-0.012864209,-0.01685891,-0.009534037,-0.04000898,0.38212883,-0.36819544,0.13834658,0.39698991883427237
2022-06-23,-0.003323971,-0.01286661,-0.01708813,-0.009173982,-0.040091384,0.38654,-0.37395927,0.14141336,0.40061344733628673
2022-06-24,-0.002415029,-0.011967014,-0.015836291,-0.0079033375,-0.037036795,0.37025988,-0.35973993,0.13437733,0.40061344733628673
2022-06-27,-0.002374987,-0.011861582,-0.015637632,-0.007822389,-0.036658246,0.36737496,-0.3568159,0.13290414,0.40061344733628673
2022-06-28,-0.0027705298,-0.012357843,-0.01642654,-0.0084067285,-0.038392622,0.3786025,-0.3676047,0.13822067,0.40061344733628673
2022-06-29,-0.0025262663,-0.012207986,-0.016361335,-0.008079065,-0.037987567,0.3791995,-0.36947325,0.13898724,0.40061344733628673
2022-06-30,-0.0025319762,-0.012527947,-0.017093519,-0.008187367,-0.039218783,0.391298,-0.38274983,0.14551514,0.39447897598131487
2022-07-01,-0.0016435494,-0.011544471,-0.015584605,-0.0069277133,-0.03579739,0.3700685,-0.36272007,0.13573074,0.39447897598131487
2022-07-05,-0.0019550219,-0.012247204,-0.016837323,-0.0075111524,-0.03827639,0.38849902,-0.38134927,0.14513433,0.39447897598131487
2022-07-06,-0.0018240584,-0.012118348,-0.016771914,-0.0072997506,-0.03795257,0.38896334,-0.38283467,0.14558682,0.39447897598131487
2022-07-07,-0.0035525456,-0.013791219,-0.018827403,-0.00975672,-0.043347068,0.41305828,-0.40163192,0.15546966,0.39447897598131487
2022-07-08,-0.0029787642,-0.013222945,-0.01810488,-0.00894315,-0.04150858,0.40409487,-0.39419815,0.15163627,0.39807221869554804
2022-07-11,-0.0033367544,-0.013837106,-0.019158946,-0.00953407,-0.043668825,0.4195444,-0.40961316,0.15933263,0.39807221869554804
2022-07-12,-0.0027682448,-0.013296679,-0.018432753,-0.008747594,-0.04185951,0.41022533,-0.40161976,0.1553531,0.39807221869554804
2022-07-13,-0.0026497168,-0.0129178995,-0.017685829,-0.00849391,-0.04047445,0.39861465,-0.38941735,0.14929414,0.39807221869554804
2022-07-14,-0.001304467,-0.011533047,-0.015766358,-0.0065962556,-0.035832986,0.37303078,-0.3665561,0.13785669,0.39807221869554804
2022-07-15,-0.0020170992,-0.011015604,-0.014228806,-0.007121922,-0.03380224,0.3469116,-0.3363229,0.12228381,0.3963371235577857
2022-07-18,-0.0019894734,-0.01063568,-0.013405897,-0.0069544488,-0.032362554,0.33423686,-0.32287273,0.11558489,0.3963371235577857
2022-07-19,-0.0018068203,-0.010430985,-0.013154738,-0.0066826274,-0.031714957,0.33108312,-0.3202427,0.11416768,0.3963371235577857
2022-07-20,-0.0017853915,-0.009792437,-0.011906767,-0.006399701,-0.029460452,0.312482,-0.3008154,0.10410812,0.3963371235577857
2022-07-21,-0.0011652843,-0.008934701,-0.010504361,-0.0054525933,-0.026457146,0.29243636,-0.28133678,0.09444506,0.3963371235577857
2022-07-22,-0.0015160295,-0.009215471,-0.0109088365,-0.005899469,-0.027446114,0.29821068,-0.28665802,0.09690579,0.4007782913313181
2022-07-25,-0.0012105491,-0.008753275,-0.010110157,-0.005424648,-0.025796045,0.2863683,-0.27482685,0.091088705,0.4007782913313181
2022-07-26,-0.00080250064,-0.008083344,-0.009039152,-0.004738902,-0.023497038,0.2717049,-0.2608713,0.08396122,0.4007782913313181
2022-07-27,-0.001429735,-0.008657002,-0.009794185,-0.0055963616,-0.025414523,0.28137967,-0.2690728,0.0880262,0.4007782913313181
2022-07-28,-0.0017166876,-0.009035573,-0.010314101,-0.006053165,-0.026654895,0.28776857,-0.274522,0.09092846,0.4007782913313181
2022-07-29,-0.0013183048,-0.008537096,-0.009513186,-0.0054696607,-0.024909597,0.27617556,-0.2632685,0.08540332,0.4183105719114581
2022-08-01,-0.0015294694,-0.0087334635,-0.009762717,-0.005762411,-0.025554333,0.2792583,-0.26581413,0.08670677,0.4183105719114581
2022-08-02,-0.0023025123,-0.009378146,-0.010594716,-0.006783621,-0.02771641,0.29021892,-0.2751466,0.091209345,0.4183105719114581
2022-08-03,-0.002261076,-0.009327275,-0.010500668,-0.0067255297,-0.027523197,0.2888575,-0.27379665,0.090573005,0.4183105719114581
2022-08-04,-0.0018100177,-0.00833032,-0.008757776,-0.0058786436,-0.024029963,0.26364583,-0.24857904,0.077783234,0.4183105719114581
2022-08-05,-0.0016330772,-0.008267601,-0.008727165,-0.005681381,-0.02382854,0.2634465,-0.24881543,0.078005634,0.3920516678714134
2022-08-08,-0.0018610845,-0.008424009,-0.009009752,-0.0059412853,-0.024443675,0.2683335,-0.25389636,0.08020885,0.3920516678714134
2022-08-09,-0.0012028662,-0.0077768164,-0.008118795,-0.0050236234,-0.022264007,0.25667238,-0.2436706,0.07513322,0.3920516678714134
2022-08-10,-0.0013355161,-0.007490145,-0.007394024,-0.005061583,-0.021154791,0.2444942,-0.22997744,0.06826589,0.3920516678714134
2022-08-11,-0.0012341801,-0.00713203,-0.006688649,-0.004828627,-0.019845393,0.23370571,-0.21871401,0.06264887,0.3920516678714134
2022-08-12,-0.0011541464,-0.0070110383,-0.0064479914,-0.0047134496,-0.019385701,0.22978736,-0.21456756,0.06068132,0.4041841397950343
2022-08-15,-0.0011254817,-0.006801217,-0.006045485,-0.0046026227,-0.01864502,0.22365585,-0.20815577,0.05739548,0.4041841397950343
2022-08-16,-0.001284851,-0.007054896,-0.0065363115,-0.004841333,-0.019595785,0.23149781,-0.21636577,0.061322697,0.4041841397950343
2022-08-17,-0.0008720376,-0.0066806516,-0.0061178375,-0.004257126,-0.018413715,0.22717208,-0.2135434,0.05973848,0.4041841397950343
2022-08-18,-0.0006087208,-0.006467781,-0.0059215734,-0.0038904678,-0.017768981,0.22561915,-0.21310858,0.05938036,0.4041841397950343
2022-08-19,-8.000294e-05,-0.0062249936,-0.005789304,-0.00325619,-0.017030379,0.22542442,-0.21474,0.060280994,0.4009690949154391
2022-08-22,-0.00015886151,-0.0064966893,-0.006326845,-0.0034321113,-0.018022936,0.23378347,-0.22353499,0.064655684,0.4009690949154391
2022-08-23,-0.00080924085,-0.0071176747,-0.007139543,-0.0043399567,-0.020083923,0.24393946,-0.23201211,0.06893208,0.4009690949154391
2022-08-24,-0.00094647077,-0.007218738,-0.0073112175,-0.0045029153,-0.020469297,0.24672084,-0.23480745,0.0701662,0.4009690949154391
2022-08-25,-0.0017170848,-0.007913117,-0.0081348345,-0.005576789,-0.022709373,0.256055,-0.24169971,0.07378931,0.4009690949154391
2022-08-26,-0.0021114906,-0.008729183,-0.009641979,-0.006266006,-0.025649812,0.27897865,-0.26526213,0.08545401,0.4049753191159856
2022-08-29,-0.0018879387,-0.008424978,-0.009284107,-0.0058900802,-0.02471501,0.2753257,-0.26272452,0.08386073,0.4049753191159856
2022-08-30,-0.0018908512,-0.008769699,-0.010056475,-0.006009069,-0.02601846,0.28778824,-0.27629504,0.09061434,0.4049753191159856
2022-08-31,-0.0019021842,-0.008747999,-0.010038057,-0.0060029062,-0.025970086,0.2878248,-0.27647546,0.09060057,0.4049753191159856
2022-09-01,-0.0009585065,-0.0077297054,-0.008560684,-0.0046553826,-0.02250363,0.26799363,-0.25847673,0.081648424,0.4049753191159856
2022-09-02,-0.000937334,-0.007690288,-0.008562462,-0.004599498,-0.022430506,0.26887417,-0.25987658,0.08214783,0.402734314715411
2022-09-06,-0.0014314908,-0.008388336,-0.009704592,-0.0053597954,-0.024873313,0.28531146,-0.27591103,0.0901074,0.402734314715411
2022-09-07,-0.0020852096,-0.009100844,-0.010634653,-0.006325848,-0.027201913,0.2964766,-0.28505176,0.09492882,0.402734314715411
2022-09-08,-0.002074191,-0.008990647,-0.010457505,-0.006259708,-0.026843686,0.29428047,-0.2830042,0.09375831,0.402734314715411
2022-09-09,-0.0022516341,-0.009202752,-0.010648364,-0.0065563465,-0.027445775,0.29534853,-0.28288049,0.09403547,0.402734314715411
2022-09-12,-0.0021368868,-0.00900049,-0.010355046,-0.006348753,-0.026782129,0.29169747,-0.27964225,0.09227159,0.36683703230534603
2022-09-13,-0.0040583275,-0.011593997,-0.014408985,-0.009299088,-0.035704803,0.34797776,-0.33305755,0.11911365,0.36683703230534603
2022-09-14,-0.0034160658,-0.010994102,-0.013628276,-0.008409649,-0.033711623,0.33818638,-0.3248944,0.11501714,0.36683703230534603
2022-09-15,-0.004335018,-0.012116832,-0.015330121,-0.009772399,-0.03755345,0.36169976,-0.34693763,0.12602988,0.36683703230534603
2022-09-16,-0.0036651206,-0.011554339,-0.014636761,-0.008871589,-0.03569583,0.35327107,-0.3402756,0.122727625,0.36683703230534603
2022-09-19,-0.0031679894,-0.011012611,-0.013785882,-0.008177055,-0.03379144,0.3410371,-0.32855982,0.117059045,0.4042161425498718
2022-09-20,-0.0016560049,-0.009717056,-0.012167998,-0.0061341044,-0.029505093,0.32125956,-0.31274593,0.10919904,0.4042161425498718
2022-09-21,-0.0013897484,-0.009451705,-0.011790484,-0.005766528,-0.028610881,0.31605887,-0.30798134,0.106857054,0.4042161425498718
2022-09-22,-0.0010471998,-0.009159984,-0.011419645,-0.0053083156,-0.027640555,0.31131,-0.3040249,0.10492431,0.4042161425498718
2022-09-23,-0.0026019088,-0.0112850685,-0.014789553,-0.007694502,-0.03498399,0.3587312,-0.34950206,0.12767726,0.4042161425498718
2022-09-26,-0.002061485,-0.01120136,-0.014999634,-0.00710832,-0.03482866,0.36387724,-0.35688344,0.13149777,0.422754895897814
2022-09-27,-0.0025844637,-0.011656643,-0.015715634,-0.007778982,-0.036471702,0.37459654,-0.36722952,0.13627812,0.422754895897814
2022-09-28,-0.004516381,-0.013439493,-0.017839214,-0.010495199,-0.042213265,0.39862144,-0.385029,0.14570358,0.422754895897814
2022-09-29,-0.004493323,-0.013612854,-0.018226901,-0.010536421,-0.042862754,0.4046976,-0.39158747,0.149016,0.422754895897814
2022-09-30,-0.003316825,-0.012337632,-0.016367806,-0.008857906,-0.038517762,0.37949628,-0.3685466,0.1375776,0.422754895897814
2022-10-03,-0.0036913378,-0.012969191,-0.017093875,-0.009569444,-0.04040193,0.38626397,-0.3728384,0.14063382,0.44727308753426404
2022-10-04,-0.003978487,-0.01323353,-0.017214643,-0.010023966,-0.041068796,0.3849529,-0.36931822,0.13945577,0.44727308753426404
2022-10-05,-0.0040146094,-0.013321268,-0.017361442,-0.010097515,-0.041367266,0.38696522,-0.3712739,0.1404759,0.44727308753426404
2022-10-06,-0.003710769,-0.012873371,-0.016650174,-0.009612588,-0.039826687,0.3771507,-0.36192933,0.13574618,0.44727308753426404
2022-10-07,-0.004316355,-0.013639233,-0.017925506,-0.010491589,-0.04254142,0.396011,-0.380564,0.14482796,0.44727308753426404
2022-10-10,-0.002788807,-0.012408228,-0.016459715,-0.008456066,-0.038503263,0.37858003,-0.3672898,0.13825968,0.48191095605999845
2022-10-11,-0.0006441183,-0.0105215395,-0.014143765,-0.005520616,-0.032329887,0.35091043,-0.34561488,0.12724355,0.48191095605999845
2022-10-12,-0.000733,-0.010647551,-0.014454145,-0.005630201,-0.03286984,0.35648894,-0.3518069,0.13006091,0.48191095605999845
2022-10-13,-0.0018618226,-0.011111329,-0.014546094,-0.0069804075,-0.03416953,0.35339433,-0.34427804,0.12630168,0.48191095605999845
2022-10-14,-0.0019514812,-0.011494719,-0.015380537,-0.007190483,-0.03563663,0.36707926,-0.3590974,0.13351935,0.48191095605999845
2022-10-17,-0.0027571952,-0.012068304,-0.015865577,-0.008268092,-0.03736158,0.37060755,-0.35943472,0.13397264,0.4843387393430588
2022-10-18,-0.0025394426,-0.011781969,-0.015387429,-0.0079461895,-0.036346707,0.3635851,-0.35251,0.13058707,0.4843387393430588
2022-10-19,-0.0031064858,-0.012590858,-0.016727163,-0.008818522,-0.0391862,0.3829792,-0.37153333,0.14001146,0.4843387393430588
2022-10-20,-0.0023691796,-0.011797365,-0.015570635,-0.007771564,-0.036483902,0.36719066,-0.3570441,0.1328322,0.4843387393430588
2022-10-21,-0.0018639518,-0.0112679675,-0.0146800205,-0.007093796,-0.034557734,0.35354978,-0.3434578,0.12644383,0.4843387393430588
2022-10-24,-0.002680566,-0.012339776,-0.016261216,-0.008353228,-0.03815375,0.3747378,-0.36296287,0.13643366,0.49027492012093843
2022-10-25,-0.0034279043,-0.012348006,-0.015669266,-0.0091423895,-0.037895583,0.3622347,-0.34664586,0.12828085,0.49027492012093843
2022-10-26,-0.0029598416,-0.011439451,-0.014049776,-0.008334214,-0.03466509,0.338158,-0.3222709,0.11612793,0.49027492012093843
2022-10-27,-0.00278368,-0.0112727815,-0.013798038,-0.008097459,-0.03407381,0.33460093,-0.31895837,0.11456325,0.49027492012093843
2022-10-28,-0.002404852,-0.010921944,-0.013482286,-0.007536491,-0.03304583,0.332442,-0.3186949,0.11406494,0.49027492012093843
2022-10-31,-0.0024019692,-0.0109015815,-0.013389418,-0.007542958,-0.0329323,0.33035082,-0.31613943,0.11291372,0.47805544998668253
2022-11-01,-0.0022159892,-0.010692959,-0.012998475,-0.0072971904,-0.032140642,0.3240654,-0.309629,0.109878756,0.47805544998668253
2022-11-02,-0.0026483156,-0.01106706,-0.013750985,-0.0078069936,-0.03364754,0.3370816,-0.32347795,0.11602827,0.47805544998668253
2022-11-03,-0.002764005,-0.011135414,-0.014022112,-0.007894168,-0.03406382,0.34300542,-0.33048066,0.118960224,0.47805544998668253
2022-11-04,-0.0037645658,-0.012412022,-0.015664196,-0.0094884485,-0.03813662,0.36187232,-0.34555575,0.12737823,0.47805544998668253
